# SNAPLOG logfile.
# simt, id, type, lat, lon, alt, hdg, trk, tas, gs, gsnorth, gseast, cas, M, vs, p, rho, Temp, dtemp, aspd, aptas, ama, apalt, avs
15.1,MS847,B737,-0.94540819,0.72638916,9144.00000000,277.75047831,277.75047831,192.89687037,192.89687037,26.01391801,-191.13471340,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
15.1,MS848,B737,-1.44689978,0.52045605,9144.00000000,318.67127920,318.67127920,192.89687037,192.89687037,144.85266383,-127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
20.0,MS842,B737,-1.44069794,-0.47509031,9144.00000000,41.32872080,41.32872080,192.89687037,192.89687037,144.85266383,127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
20.0,MS841,B737,-1.64654777,0.02009622,9144.00000000,0.00000000,0.00000000,192.89687037,192.89687037,192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
20.0,MS843,B737,-0.94740087,-0.67804950,9144.00000000,87.75644049,87.75644049,192.89687037,192.89687037,7.55142915,192.74900393,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
20.0,MS844,B737,-0.45361106,-0.47216539,9144.00000000,131.12476085,131.12476085,192.89687037,192.89687037,-126.86843427,145.30520632,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
20.0,MS845,B737,-0.25077700,0.01972491,9144.00000000,180.00000000,180.00000000,192.89687037,192.89687037,-192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
20.0,MS846,B737,-0.45337303,0.51160544,9144.00000000,229.07919911,229.07919911,192.89687037,192.89687037,-126.35037801,-145.75590751,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
20.0,MS847,B737,-0.94426184,0.71796533,9144.00000000,277.75047831,277.75047831,192.89687037,192.89687037,26.01391801,-191.13471340,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
20.0,MS848,B737,-1.44051659,0.51484083,9144.00000000,318.67127920,318.67127920,192.89687037,192.89687037,144.85266383,-127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
